Case_no,checking_status,credit_history,purpose,credit_amount,saving_status,employment,personal_status,age,job,class
558,2,3,3,5003,0,1,1,29.0,0,1
559,0,4,2,3552,1,2,0,27.0,0,1
560,1,0,2,19280000,1,4,0,31.0,1,1
561,0,1,4,2964,0,0,0,49.0,0,0
562,0,4,0,1546,1,2,0,24.0,1,1
563,3,2,0,683,1,4,1,29.0,0,0
564,1,1,3,12389,0,1,0,37.0,0,1
565,1,2,5,4712,0,1,0,37.0,2,0
566,1,2,0,1553,4,2,1,23.0,0,0
567,0,1,3,1372,1,2,2,36.0,0,1
568,2,0,0,2578,3,0,0,34.0,0,0
569,1,1,0,3979,0,2,0,41.0,0,0
570,0,1,0,6758,1,1,1,31.0,0,1
571,0,1,2,3234,1,4,1,23.0,1,1
572,2,0,0,5954,1,2,0,38.0,0,0
573,2,1,4,5433,0,3,1,26.0,2,0
574,0,1,5,806,1,1,1,22.0,1,0
575,1,1,0,1082,1,0,0,27.0,1,0
576,2,0,2,2788,1,2,1,24.0,0,0
577,1,1,0,2930,1,2,1,27.0,0,0
578,2,0,1,1927,0,1,1,33.0,0,0
579,1,0,3,2820,1,4,2,27.0,0,1
580,2,1,9,937,1,4,3,27.0,1,0
581,1,0,3,1056,1,0,0,30.0,0,1
582,1,0,3,3124,1,4,0,49.0,1,0
583,2,1,2,1388,1,1,1,26.0,0,0
584,1,1,7,2384,1,4,0,33.0,1,1
585,2,1,3,2133,0,0,1,52.0,2,0
586,0,1,2,2039,1,1,1,20.0,0,1
587,0,0,3,2799,1,1,0,36.0,0,0
588,0,1,2,1289,1,1,0,21.0,1,0
589,0,1,6,1217,1,1,3,47.0,1,1
590,0,0,2,2246,1,0,0,60.0,0,1
591,0,0,0,385,1,2,1,58.0,1,0
592,1,2,3,1965,0,1,1,42.0,0,0
593,2,1,5,1572,3,0,1,36.0,1,0
594,1,1,3,2718,1,1,1,20.0,1,1
595,0,4,8,13580000,0,0,0,40.0,2,1
596,1,4,3,931,4,4,1,32.0,1,1
597,0,1,3,1442,1,2,1,23.0,0,1
598,1,3,5,4241,1,1,0,36.0,1,1
599,2,0,3,2775,1,2,0,31.0,0,1
600,2,2,5,3863,1,1,0,32.0,0,0
601,1,1,0,2329,1,4,1,45.0,0,0
602,1,1,2,918,1,1,1,30.0,0,1
603,1,4,1,1837,1,2,1,34.0,1,1
604,2,1,2,3349,1,1,1,28.0,2,1
605,3,1,2,1275,1,4,1,23.0,0,0
606,0,4,2,2828,2,1,0,22.0,0,0
607,2,0,5,4526,1,1,0,74.0,2,0
608,1,1,0,2671,4,1,1,50.0,0,1
609,2,1,0,2051,1,4,0,33.0,0,0
610,2,1,4,1300,0,0,0,45.0,0,0
611,0,1,6,741,4,3,1,22.0,0,1
612,3,1,3,1240,4,0,1,48.0,1,1
613,0,1,0,3357,3,4,1,29.0,0,0
614,0,4,4,3632,1,1,1,22.0,0,0
615,2,2,2,1808,1,2,1,22.0,0,1
616,1,3,5,12204,0,1,0,48.0,2,0
617,1,2,0,9157,0,1,0,27.0,2,0
618,0,0,3,3676,1,1,0,37.0,0,0
619,1,1,2,3441,4,1,1,21.0,0,1
620,2,1,3,640,1,1,2,49.0,1,0
621,1,0,5,3652,1,2,0,27.0,0,0
622,2,0,3,1530,1,1,0,32.0,0,1
623,2,1,5,3914,0,1,2,38.0,0,1
624,0,1,2,1858,1,4,1,22.0,0,0
625,0,1,0,2600,1,1,0,65.0,0,1
626,2,1,0,1979,0,0,0,35.0,0,0
627,3,1,2,2116,1,1,0,41.0,0,0
628,1,4,3,1437,4,2,0,29.0,0,1
629,2,0,2,4042,2,1,0,36.0,0,0
630,2,1,1,3832,0,0,0,64.0,1,0
631,0,1,0,3660,1,1,1,28.0,0,0
632,0,4,2,1553,1,1,0,44.0,0,1
633,1,1,0,1444,0,4,0,23.0,0,0
634,2,1,2,1980,1,4,1,19.0,0,1
635,1,1,3,1355,1,4,1,25.0,1,1
636,2,1,1,1393,1,0,0,47.0,0,0
637,2,1,0,1376,2,2,1,28.0,0,0
638,2,2,0,15653,1,2,0,21.0,0,0
639,2,1,0,1493,1,4,1,34.0,0,0
640,0,2,0,4370,1,2,0,26.0,0,1
641,0,1,1,750,1,3,1,27.0,3,1
642,1,1,7,1308,1,0,0,38.0,1,0
643,2,1,1,4623,4,1,0,40.0,2,1
644,2,0,0,1851,1,2,3,33.0,0,0
645,0,0,0,1880,1,2,3,32.0,2,0
646,2,2,5,7980,0,4,0,27.0,0,1
647,0,3,2,4583,1,1,2,32.0,0,0
648,2,1,3,13860000,2,1,1,26.0,0,1
649,3,1,3,947,1,2,0,38.0,0,1
650,0,1,1,684,1,1,0,40.0,1,1
651,0,1,1,7476,1,2,0,50.0,2,0
652,1,1,2,1922,1,1,0,37.0,1,1
653,0,1,3,2303,1,0,0,45.0,0,1
654,1,2,3,8086,4,0,0,42.0,2,1
655,2,0,4,2346,1,2,0,35.0,0,0
656,0,1,3,3973,1,3,0,22.0,0,0
657,1,1,3,888,1,0,0,41.0,1,1
658,2,1,0,10222,0,2,0,37.0,0,0
659,1,3,5,4221,1,1,1,28.0,0,0
660,1,0,2,63610000,1,0,0,41.0,0,0
661,3,1,0,1297,1,1,3,23.0,0,0
662,0,1,3,900,0,1,3,23.0,0,1
663,2,1,2,2241,1,0,0,50.0,0,0
664,1,2,2,1050,1,3,0,35.0,2,0
665,3,0,1,1047,1,1,1,50.0,1,0
666,2,0,8,6314,1,3,0,27.0,2,0
667,1,4,2,3496,3,1,0,34.0,0,0
668,2,4,5,3609,1,1,1,27.0,0,0
669,0,0,3,4843,1,0,0,43.0,0,1
670,3,0,0,3017,1,0,0,47.0,0,0
671,2,0,5,4139,4,1,0,27.0,1,0
672,2,1,5,5742,4,2,0,31.0,0,0
673,2,1,3,10366,1,0,0,42.0,2,0
674,2,0,3,2080,2,1,3,24.0,0,0
675,2,2,5,2580,2,4,0,41.0,1,1
676,2,0,0,4530,1,2,1,26.0,2,0
677,2,0,2,5150,1,0,0,33.0,0,0
678,1,1,0,5595,4,1,3,24.0,0,1
679,0,1,0,2384,1,0,0,64.0,1,0
680,2,1,0,1453,1,4,1,26.0,0,0
681,2,1,1,1538,1,4,1,56.0,0,0
682,2,1,0,2279,0,1,0,37.0,0,0
683,2,2,0,1478,1,1,3,33.0,0,0
684,2,0,0,5103,1,4,3,47.0,0,0
685,1,2,5,9857,4,2,0,31.0,1,0
686,2,1,3,6527,0,1,0,34.0,0,0
687,3,0,0,1347,0,2,0,27.0,0,0
688,1,2,3,2862,4,0,0,30.0,0,0
689,2,1,0,2753,4,0,0,35.0,0,0
690,0,1,3,3651,3,1,0,31.0,0,0
691,0,0,2,975,1,1,2,25.0,0,0
692,1,1,7,2631,4,1,1,25.0,1,0
693,1,1,0,2896,4,4,0,29.0,0,0
694,0,0,3,4716,0,4,0,44.0,1,0
695,2,1,0,2284,1,2,0,28.0,0,0
696,2,1,4,1236,2,1,0,50.0,0,0
697,1,1,0,1103,1,2,0,29.0,0,0
698,2,0,3,926,1,3,1,38.0,3,0
699,2,0,0,1800,1,1,0,24.0,0,0
700,3,1,1,1905,1,0,0,40.0,2,0
701,2,1,2,1123,2,1,1,29.0,1,1
702,0,0,4,6331,1,0,0,46.0,0,1
703,3,1,0,1377,4,0,1,47.0,0,0
704,1,2,5,2503,4,0,0,41.0,0,0
705,1,1,5,2528,1,4,1,32.0,0,0
706,2,1,3,5324,2,0,1,35.0,0,0
707,1,1,3,6560,4,2,0,24.0,0,1
708,1,3,2,2969,1,4,1,25.0,0,1
709,1,1,0,1206,1,0,1,25.0,0,0
710,1,1,0,2118,1,1,0,37.0,1,0
711,2,0,0,629,2,0,0,32.0,2,0
712,0,4,1,1198,1,0,1,35.0,0,1
713,2,1,4,2476,0,0,0,46.0,2,0
714,0,0,0,1138,1,1,0,25.0,1,0
715,1,1,3,14027,1,2,0,27.0,2,1
716,2,0,4,7596,0,0,0,63.0,0,0
717,2,0,0,3077,0,0,0,40.0,0,0
718,2,1,0,1505,1,1,0,32.0,2,0
719,3,0,0,3148,0,1,0,31.0,0,0
720,1,3,4,6148,4,0,3,31.0,0,0
721,3,3,0,1337,1,4,0,34.0,2,1
722,1,4,1,433,3,4,1,24.0,0,1
723,0,1,3,1228,1,1,1,24.0,1,1
724,1,1,0,790,2,1,1,66.0,1,0
725,2,1,3,2570,1,1,1,21.0,0,1
726,2,0,3,250,3,1,1,41.0,1,0
727,2,0,0,1316,2,1,3,47.0,1,0
728,0,1,0,1882,1,1,1,25.0,0,1
729,1,4,5,6416,1,0,1,59.0,0,1
730,3,0,5,1275,3,1,2,36.0,0,0
731,1,2,0,6403,1,4,0,33.0,0,0
732,0,1,0,1987,1,1,0,21.0,1,1
733,1,1,0,760,1,2,1,44.0,1,0
734,2,1,4,2603,3,1,1,28.0,0,0
735,2,0,3,3380,1,2,1,37.0,0,0
736,1,4,6,3990,0,4,1,29.0,3,0
737,1,1,4,11560,1,1,1,23.0,2,1
738,0,1,3,4380,4,1,0,35.0,1,0
739,2,0,3,6761,1,2,0,45.0,2,0
740,1,3,5,4280,4,1,1,26.0,1,1
741,0,4,3,2325,4,2,0,32.0,0,0
742,1,4,0,1048,1,1,0,23.0,1,0
743,2,1,0,3160,0,0,0,41.0,0,0
744,0,4,2,2483,2,1,0,22.0,0,0
745,0,0,2,14179,0,2,0,30.0,2,0
746,0,0,5,1797,1,4,0,28.0,1,0
747,0,1,3,2511,1,3,1,23.0,0,0
748,0,1,3,1274,1,4,1,37.0,1,1
749,2,1,4,5248,0,1,0,26.0,0,0
750,2,1,4,3029,1,2,0,33.0,0,0
751,0,1,2,428,1,0,1,49.0,0,0
752,0,1,3,976,1,4,1,23.0,1,1
753,1,1,5,841,4,2,1,23.0,1,0
754,2,0,0,5771,1,2,1,25.0,0,0
755,2,2,7,1555,3,0,0,55.0,0,1
756,0,1,3,1285,0,2,1,32.0,0,1
757,3,0,3,1299,1,1,0,74.0,3,0
758,3,0,0,1271,0,1,0,39.0,0,1
759,2,1,3,1393,1,1,0,31.0,0,0
760,0,0,3,691,1,0,0,35.0,0,1
761,2,0,3,5045,0,0,1,59.0,0,0
762,0,0,2,2124,1,1,1,24.0,0,1
763,0,1,0,2214,1,1,0,24.0,1,0
764,2,0,3,12680,0,0,0,30.0,2,1
765,2,0,3,2463,4,2,3,27.0,0,0
766,1,1,0,1155,1,0,3,40.0,1,0
767,0,1,2,3108,1,4,2,31.0,1,1
768,2,1,4,2901,0,4,1,31.0,0,0
769,1,0,2,3617,1,0,0,28.0,0,0
770,2,0,0,1655,1,0,0,63.0,1,0
771,0,1,4,2812,0,0,1,26.0,0,0
772,0,0,1,8065,1,1,1,25.0,2,1
773,2,0,4,3275,1,0,0,36.0,2,0
774,2,0,0,2223,4,0,0,52.0,0,0
775,3,0,3,1480,2,3,0,66.0,3,0
776,0,1,3,1371,0,1,1,25.0,0,1
777,2,0,3,3535,1,2,0,37.0,0,0
778,0,1,0,3509,1,2,1,25.0,0,0
779,2,0,4,5711,3,0,0,38.0,2,0
780,1,1,7,3872,1,3,1,67.0,0,0
781,1,0,0,4933,1,2,0,25.0,0,1
782,2,0,3,1940,3,0,0,60.0,0,0
783,1,3,9,1410,1,1,0,31.0,1,0
784,1,1,3,836,4,4,1,23.0,1,1
785,1,1,4,6468,0,3,2,60.0,2,0
786,1,1,5,1941,3,1,0,35.0,1,0
787,2,1,0,2675,2,0,0,40.0,0,0
788,2,0,4,2751,0,0,0,38.0,0,0
789,1,2,1,6224,1,0,0,50.0,0,1
790,0,0,1,5998,1,1,0,27.0,0,1
791,1,1,5,1188,1,0,1,39.0,0,1
792,2,1,4,6313,0,0,0,41.0,2,0
793,2,0,2,1221,0,1,3,27.0,0,0
794,3,1,2,2892,1,0,2,51.0,0,0
795,2,1,2,3062,2,0,0,32.0,0,0
796,2,1,2,2301,4,4,1,22.0,0,0
797,0,1,4,7511,0,0,0,51.0,0,1
798,2,0,2,1258,1,4,1,22.0,1,0
799,2,2,3,717,0,0,3,54.0,0,0
800,1,1,3,1549,0,4,0,35.0,3,0
801,2,0,1,1597,1,0,0,54.0,0,0
802,1,0,0,1795,1,0,1,48.0,1,0
803,0,0,2,4272,1,0,1,24.0,0,0
804,2,0,0,976,0,0,0,35.0,0,0
805,1,1,3,7472,0,3,1,24.0,3,0
806,0,1,3,9271,1,2,0,24.0,0,1
807,1,1,0,590,1,4,3,26.0,1,0
808,2,0,0,930,0,0,0,65.0,0,0
809,1,4,4,9283,1,3,0,55.0,2,0
810,1,3,3,1778,1,4,1,26.0,3,1
811,1,1,5,907,1,4,3,26.0,0,0
812,1,1,0,484,1,2,3,28.0,1,0
813,0,0,4,9629,1,2,0,24.0,0,1
814,0,1,6,3051,1,1,0,54.0,0,1
815,0,1,3,3931,1,2,0,46.0,0,1
816,1,2,3,7432,1,1,1,54.0,0,0
817,2,1,6,1338,2,1,2,62.0,0,0
818,2,0,0,1554,1,2,1,24.0,0,0
819,0,1,8,15857,1,3,2,43.0,2,0
820,0,1,0,1345,1,1,3,26.0,0,1
821,2,1,3,1101,1,1,3,27.0,0,0
822,3,1,0,3016,1,1,3,24.0,0,0
823,0,1,2,2712,1,0,0,41.0,0,1
824,0,0,3,731,1,0,0,47.0,1,0
825,2,0,2,3780,1,4,2,35.0,2,0
826,0,0,3,1602,1,0,3,30.0,0,0
827,0,0,3,3966,1,0,1,33.0,0,1
828,2,3,5,4165,1,1,0,36.0,0,1
829,0,1,4,8335,0,0,0,47.0,0,1
830,1,2,5,6681,0,1,0,38.0,0,0
831,2,2,5,2375,2,1,0,44.0,0,0
832,0,1,3,1216,1,4,1,23.0,0,1
833,0,3,5,11816,1,0,0,29.0,0,1
834,1,1,0,5084,0,0,1,42.0,0,0
835,3,1,0,2327,1,4,1,25.0,1,1
836,0,3,3,1082,1,1,0,48.0,0,1
837,2,1,0,886,0,1,1,21.0,0,0
838,2,1,2,601,1,4,1,23.0,1,0
839,0,0,4,2957,1,0,0,63.0,0,0
840,2,0,0,2611,1,0,3,46.0,0,0
841,0,1,2,5179,1,2,0,29.0,0,1
842,2,2,4,2993,1,1,0,28.0,1,0
843,2,1,7,1943,1,4,1,23.0,0,1
844,2,4,5,1559,1,2,0,50.0,0,0
845,2,1,2,3422,1,0,0,47.0,0,0
846,1,1,2,3976,0,2,0,35.0,0,0
847,2,1,3,6761,0,1,0,68.0,0,1
848,2,1,3,1249,1,4,3,28.0,0,0
849,0,1,0,1364,1,2,0,59.0,0,0
850,0,1,0,709,1,0,0,57.0,1,1
851,0,0,3,2235,1,1,3,33.0,0,1
852,2,0,4,4042,0,2,0,43.0,0,0
853,2,0,0,1471,1,1,0,35.0,0,0
854,0,4,3,1442,1,2,0,32.0,1,1
855,2,2,3,10875,1,0,0,45.0,0,0
856,2,1,3,1474,4,4,3,33.0,0,0
857,2,1,9,894,0,2,1,40.0,0,0
858,2,0,2,3343,1,1,0,28.0,0,0
859,0,1,3,3959,1,1,1,29.0,0,1
860,2,1,3,3577,4,1,0,26.0,0,0
861,2,0,4,5804,3,1,0,27.0,0,0
862,2,2,5,2169,1,1,3,28.0,0,1
863,0,1,0,2439,1,4,1,35.0,0,1
864,2,0,2,4526,3,4,0,32.0,1,0
865,2,1,2,2210,1,1,0,25.0,1,1
866,2,1,2,2221,2,1,1,20.0,0,0
867,0,1,0,2389,1,4,1,27.0,0,0
868,2,0,2,3331,1,0,0,42.0,0,0
869,2,1,5,7409,0,0,0,37.0,0,0
870,0,1,2,652,1,0,1,24.0,0,0
871,2,2,2,7678,2,2,1,40.0,0,0
872,3,0,3,1343,1,0,0,46.0,0,0
873,0,0,5,1382,4,2,0,26.0,0,0
874,2,1,6,874,0,4,1,24.0,0,0
875,0,1,2,3590,1,1,0,29.0,1,0
876,1,0,3,1322,3,1,1,40.0,0,0
877,0,4,0,1940,1,4,0,36.0,2,0
878,2,1,0,3595,1,0,0,28.0,0,0
879,0,1,3,1422,1,4,0,27.0,2,1
880,2,0,0,6742,0,2,0,36.0,0,0
881,2,1,4,7814,1,2,0,38.0,2,0
882,2,1,4,9277,0,1,2,48.0,0,0
883,1,0,3,2181,0,0,0,36.0,0,0
884,2,0,0,1098,1,3,1,65.0,3,0
885,1,1,2,4057,1,2,2,43.0,0,1
886,0,1,1,795,1,4,1,53.0,0,1
887,1,0,5,2825,0,2,0,34.0,0,0
888,1,1,5,15672,1,1,0,23.0,0,1
889,2,0,3,6614,1,0,0,34.0,2,0
890,2,4,4,7824,0,4,0,40.0,0,0
891,0,0,5,2442,1,0,0,43.0,2,0
892,2,0,0,1829,1,0,0,46.0,0,0
893,0,0,3,2171,1,1,0,38.0,1,0
894,1,0,4,5800,1,1,0,34.0,0,0
895,2,0,0,1169,0,1,0,29.0,0,0
896,2,2,4,8947,0,2,0,31.0,2,0
897,0,1,0,2606,1,4,1,28.0,2,0
898,2,0,2,1592,3,2,1,35.0,0,0
899,2,1,2,2186,0,2,1,33.0,1,0
900,0,1,2,4153,1,1,0,42.0,0,1
901,0,0,3,2625,1,0,0,43.0,0,1
902,2,0,3,3485,0,4,2,44.0,0,0
903,2,0,4,10477,0,0,0,42.0,0,0
904,2,1,0,1386,0,1,3,40.0,0,0
905,2,1,0,1278,1,0,0,36.0,2,0
906,0,1,0,1107,1,1,0,20.0,2,0
907,0,1,3,3763,0,2,0,24.0,1,0
908,1,1,1,3711,0,1,3,27.0,0,0
909,2,2,4,3594,1,4,1,46.0,1,0
910,1,1,3,3195,0,1,1,33.0,1,0
911,2,2,0,4454,1,1,1,34.0,0,0
912,1,0,2,4736,1,4,1,25.0,1,1
913,1,1,0,2991,0,0,1,25.0,0,0
914,2,1,5,2142,3,0,2,28.0,0,0
915,0,4,5,3161,1,1,0,31.0,0,1
916,1,3,8,18424,1,1,1,32.0,2,1
917,2,1,4,2848,4,1,0,32.0,0,0
918,0,1,3,14896,1,0,0,68.0,2,1
919,0,1,2,2359,4,3,2,33.0,0,1
920,0,1,2,3345,1,0,0,39.0,2,1
921,2,0,2,1817,1,1,1,28.0,0,0
922,2,2,0,12749,2,2,0,37.0,2,0
923,0,1,0,1366,1,4,1,22.0,0,1
924,1,1,3,2002,1,2,0,30.0,0,0
925,0,4,2,6872,1,4,2,55.0,0,1
926,0,4,3,697,1,4,0,46.0,0,1
927,0,0,2,1049,1,4,1,21.0,0,0
928,0,1,4,10297,1,2,0,39.0,0,1
929,2,1,0,1867,0,0,0,58.0,0,0
930,0,2,3,1344,1,1,0,43.0,1,0
931,0,1,2,1747,1,4,0,24.0,1,0
932,1,1,0,1670,1,4,1,22.0,0,1
933,2,0,3,1224,1,1,0,30.0,0,0
934,2,0,0,522,2,0,0,42.0,0,0
935,0,1,0,1498,1,1,1,23.0,0,0
936,1,2,0,1919,4,4,0,30.0,2,1
937,3,1,0,745,1,1,1,28.0,1,1
938,1,1,0,2063,1,4,3,30.0,2,0
939,1,1,1,6288,1,1,0,42.0,0,1
940,2,0,4,6842,0,1,0,46.0,2,0
941,2,1,3,3527,0,4,0,45.0,2,0
942,2,1,3,1546,1,1,0,31.0,1,0
943,2,1,2,929,0,2,0,31.0,0,0
944,2,0,3,1455,1,2,0,42.0,1,0
945,0,1,2,1845,1,4,1,46.0,0,0
946,1,3,3,8358,2,4,1,30.0,0,0
947,0,4,2,3349,2,4,0,30.0,0,1
948,2,1,3,2859,0,3,0,38.0,2,0
949,2,1,2,1533,1,4,3,43.0,1,1
950,2,1,0,3621,4,0,0,31.0,0,1
951,1,0,5,3590,1,3,3,40.0,3,0
952,0,2,5,2145,1,2,0,24.0,0,1
953,1,1,4,4113,2,4,1,28.0,0,1
954,2,1,2,10974,1,3,1,26.0,2,1
955,0,1,3,1893,1,1,1,29.0,0,0
956,0,0,0,1231,3,0,1,57.0,2,0
957,3,0,0,3656,0,0,0,49.0,1,0
958,1,0,0,1154,1,0,0,37.0,1,0
959,0,1,3,4006,1,1,0,45.0,1,1
960,1,1,2,3069,4,0,0,30.0,0,0
961,2,0,0,1740,1,0,3,30.0,0,0
962,1,2,3,2353,1,1,2,47.0,0,0
963,2,1,3,3556,0,1,0,29.0,0,0
964,2,1,0,2397,2,0,0,35.0,0,1
965,1,1,7,454,1,4,3,22.0,1,0
966,1,1,0,1715,0,1,1,26.0,0,0
967,1,0,0,2520,2,1,0,23.0,1,1
968,2,1,0,3568,1,0,1,54.0,2,0
969,2,1,0,7166,0,2,3,29.0,0,0
970,0,0,3,3939,1,1,0,40.0,1,0
971,1,1,7,1514,4,1,0,22.0,0,0
972,2,1,3,7393,1,1,0,43.0,1,0
973,0,4,3,1193,1,3,1,29.0,3,1
974,0,1,5,7297,1,0,0,36.0,0,1
975,2,0,0,2831,1,1,1,33.0,0,0
976,3,1,0,1258,2,1,1,57.0,1,0
977,1,1,0,753,1,1,1,64.0,0,0
978,1,2,5,2427,0,0,0,42.0,0,0
979,2,2,3,2538,1,0,0,47.0,1,1
980,1,4,3,1264,4,1,3,25.0,0,1
981,1,0,2,8386,1,2,0,49.0,0,1
982,2,1,5,4844,1,3,0,33.0,2,1
983,3,1,3,2923,4,1,1,28.0,2,0
984,0,1,4,8229,1,1,0,26.0,0,1
985,2,0,2,2028,1,2,0,30.0,1,0
986,0,0,2,1433,1,1,1,25.0,0,0
987,3,3,5,6289,1,4,2,33.0,0,0
988,2,1,0,1409,4,3,1,64.0,0,0
989,0,1,4,6579,1,3,0,29.0,2,0
990,1,0,0,1743,1,0,0,48.0,1,0
991,2,0,1,3565,0,4,0,37.0,1,0
992,2,4,0,1569,4,0,0,34.0,1,0
993,0,1,0,1936,0,2,3,23.0,1,0
994,0,1,2,3959,1,3,0,30.0,2,0
995,2,1,3,2390,0,0,0,50.0,0,0
996,2,1,2,1736,1,2,1,31.0,1,0
997,0,1,4,3857,1,1,2,40.0,2,0
998,2,1,0,804,1,0,0,38.0,0,0
999,0,1,0,1845,1,1,0,23.0,0,1
1000,1,0,4,4576,4,3,0,27.0,0,0
